#,PM,SONG,Akane,Bee,Belb,Benji,Creme,Euphie,Frog,Gucci,Hikk,Hypno,Jack,Jules,Kappy,King,Nick,Niki,Poppy,RC,Ricki,Rona,Roxie,Sam,Sean,Skar,Steel,Tilt
3,9,Onanon,8,11,10,,9,10,8,9.6,,6.9,,,8,9,,10,11,9.5,,,,10,7,9,,9
3,10,Blue Light,9,8.5,10,,8,11,9,9,,5.9,,,7,7.5,,9,10,9,,,,10,9,7,,7.5
3,11,Stay Flo,8.5,8,10,,9,9,11,6.7,,8.2,,,8,8.5,,10,9.5,10,,,,8.5,8.2,10,,8
3,12,Miami,8.5,7.5,9,,7.5,9.5,6,8.5,,5.7,,,6,7,,10,10,8,,,,8,11,9,,8.5
3,17,Truth or Dare,9.5,7.5,8,,8,8,9,8,,9.1,,,10,8,,10,7.7,11,,,,10,8,8,,9
3,21,In My Dreams,5,8,10,,6,8.5,10,7.2,,11,,,9,8.5,,10,10,8,,,,10,10,8,,10
3,26,Body Language,6.5,8.5,9,,7,9,7,11,,6.5,,,8,8,,9,9,9,,,,9.5,8.3,8,,7
3,29,Coming Home,8.5,7.5,8.5,,8.5,9.5,5,6,,7,,,9,11,,9,9.5,8.5,,,,9,7,8,,6
4,1,Smooth Criminal,8,11,,,10,,10,9.3,,9.5,,10,9,,,,10,,,,10,10,11,11,10,10
4,2,Faith,8.5,9.5,,,10,,10,8.5,,9.1,,10,8,,,,8,,,,10,10,10,10,10,11
4,3,Dirty Diana,11,8.5,,,11,,8,8.5,,9.1,,11,7,,,,9,,,,7,10,10,10,10,10
4,5,The Way You Make Me Feel,6.5,9,,,8,,9,8.1,,8.5,,10,9,,,,9,,,,11,10,8,10,10,10
4,8,I Could Never Take the Place of Your Man,8,8,,,8,,10,6.8,,8.6,,10,10,,,,9,,,,7,11,10,8,10,10
4,9,Sign O' the Times,8.5,10,,,8.5,,8,11,,8.7,,10,10,,,,9.5,,,,8,10,7.3,7,8,9.5
4,13,It's Gonna Be a Beautiful Night,10,6.5,,,9,,10,10,,7.2,,10,11,,,,9,,,,8,10,10,10,10,6
4,16,The Ballad of Dorothy Parker,7,7,,,7,,8,10,,7.9,,10,8,,,,11,,,,6.3,10,8.2,8,10,5.5
4,26,Hand to Mouth,6.5,6,,,6,,6,10,,11,,8,8,,,,9,,,,8.3,9.5,9,7,7.5,6.5
5,1,Fast Car,10,11,,,8,10,11,11,5,8.1,11,10,10,6.5,,10,4.5,10,10,10,10,11,9.4,9,11,10
5,5,Rhythm Nation,8.5,9.5,,,10,11,9,10,7,7.5,9.4,10,11,10,,10,7,11,10,10,7.5,10,9,10,10,9
5,9,Last Dance,11,7.5,,,10,9,8,7.3,7,7.9,8.2,10,10,10,,10,10,10,10,11,8,10,8.7,10,9,10
5,10,Closer,10,9.5,,,10,10,7,10,7,6.3,10,11,10,8.5,,9,7.5,10,8.5,10,8.8,9,10,10,8,7
5,17,Call Your Girlfriend,8.5,6.5,,,7,9,9,6,7.5,7.1,10,10,4,10,,9,10,9,10,8,5,10,11,8,9,10
5,19,Damn Daniel,10,10,,,11,10,10,7,10,6.9,7.8,10,10,11,,10,7.5,10,10,10,10,10,7.6,10,10,8.5
5,22,ghostin,10,6.5,,,8,9.5,2,8.9,10,11,7.4,10,10,6.5,,9,4,7.5,9.5,6,4,10,8.7,9,4,8
5,24,Get Outta My Way,7,7,,,10,10,10,7.8,10,7.8,7.4,10,10,5.5,,11,11,10,10,6,6.4,10,10,11,5,10
5,33,Cruel Summer,6,8,,,8,8.5,0,5.5,11,8.8,8.6,10,8,2,,9,5.8,9,10,5,4,10,9,10,6,10
5,53,20 Dollar Nose Bleed,10,9.5,,,9,10,6,7.8,7.5,9.2,7.2,10,7.5,7,,2,5,7,8,8,11,7.5,5.2,8,8,9
5,57,I Lived,0,6,,,8,2,7,8.5,7,6.2,5.8,4,7,2,,7,4,1,7,10,10,4,7,5,5,11
5,59,Closer,8.5,8,,,10,7.5,10,0,10,10,7.8,10,6,10,,0,1,0,11,10,10,0,0,0,10,10
6,1,Doo Wop,8.5,,,,10,9.5,10,9.3,,8.5,,11,,10,,10,11,10,,,9,10,9.3,11,,11
6,2,Ex-Factor,10,,,,11,10,10,11,,9.5,,10,,9,,9,9.5,11,,,10,11,10,9,,10
6,3,Appletree,10,,,,10,9.5,8,10,,9,,10,,11,,11,10,10,,,10,9,9.3,8,,10
6,8,I Used To Love Him,10,,,,7.5,11,8,9.5,,7.8,,9,,9,,9,10,10,,,9.5,9,8.7,10,,10
6,6,On & On,9.5,,,,9,10,11,10,,7.6,,9,,10,,9,8.5,10,,,10,10,7.7,10,,10
6,9,It's Love,11,,,,10,9,8,9.5,,6.1,,9,,9,,10,7.8,10,,,10,9,10,10,,10
6,12,To Zion,7.5,,,,8,8.5,7,10,,8.7,,7,,10,,10,10,8.4,,,11,10,11,7,,10
6,14,The Miseducation of Lauryn Hill,9,,,,8,10,7,10,,11,,10,,6,,7,10,10,,,8.3,10,9.3,9,,8
