#,PM,SONG,Akane,Bee,Belb,Benji,Creme,Euphie,Frog,Gucci,Hikk,Hypno,Jack,Jules,Kappy,King,Nick,Niki,Poppy,RC,Ricki,Rona,Roxie,Sam,Sean,Skar,Steel,Tilt
3,9,Onanon,8,11,10,,9,10,8,9.6,,6.9,,,8,9,,10,11,9.5,,,,10,7,9,,9
3,10,Blue Light,9,8.5,10,,8,11,9,9,,5.9,,,7,7.5,,9,10,9,,,,10,9,7,,7.5
3,11,Stay Flo,8.5,8,10,,9,9,11,6.7,,8.2,,,8,8.5,,10,9.5,10,,,,8.5,8.2,10,,8
3,12,Miami,8.5,7.5,9,,7.5,9.5,6,8.5,,5.7,,,6,7,,10,10,8,,,,8,11,9,,8.5
3,17,Truth or Dare,9.5,7.5,8,,8,8,9,8,,9.1,,,10,8,,10,7.7,11,,,,10,8,8,,9
3,21,In My Dreams,5,8,10,,6,8.5,10,7.2,,11,,,9,8.5,,10,10,8,,,,10,10,8,,10
3,26,Body Language,6.5,8.5,9,,7,9,7,11,,6.5,,,8,8,,9,9,9,,,,9.5,8.3,8,,7
3,29,Coming Home,8.5,7.5,8.5,,8.5,9.5,5,6,,7,,,9,11,,9,9.5,8.5,,,,9,7,8,,6
4,1,Smooth Criminal,8,11,,,10,,10,9.3,,9.5,,10,9,,,,10,,,,10,10,11,11,10,10
4,2,Faith,8.5,9.5,,,10,,10,8.5,,9.1,,10,8,,,,8,,,,10,10,10,10,10,11
4,3,Dirty Diana,11,8.5,,,11,,8,8.5,,9.1,,11,7,,,,9,,,,7,10,10,10,10,10
4,5,The Way You Make Me Feel,6.5,9,,,8,,9,8.1,,8.5,,10,9,,,,9,,,,11,10,8,10,10,10
4,8,I Could Never Take the Place of Your Man,8,8,,,8,,10,6.8,,8.6,,10,10,,,,9,,,,7,11,10,8,10,10
4,9,Sign O' the Times,8.5,10,,,8.5,,8,11,,8.7,,10,10,,,,9.5,,,,8,10,7.3,7,8,9.5
4,13,It's Gonna Be a Beautiful Night,10,6.5,,,9,,10,10,,7.2,,10,11,,,,9,,,,8,10,10,10,10,6
4,16,The Ballad of Dorothy Parker,7,7,,,7,,8,10,,7.9,,10,8,,,,11,,,,6.3,10,8.2,8,10,5.5
4,26,Hand to Mouth,6.5,6,,,6,,6,10,,11,,8,8,,,,9,,,,8.3,9.5,9,7,7.5,6.5
5,1,Fast Car,10,11,,,8,10,11,11,5,8.1,11,10,10,6.5,,10,4.5,10,10,10,10,11,9.4,9,11,10
5,5,Rhythm Nation,8.5,9.5,,,10,11,9,10,7,7.5,9.4,10,11,10,,10,7,11,10,10,7.5,10,9,10,10,9
5,9,Last Dance,11,7.5,,,10,9,8,7.3,7,7.9,8.2,10,10,10,,10,10,10,10,11,8,10,8.7,10,9,10
5,10,Closer,10,9.5,,,10,10,7,10,7,6.3,10,11,10,8.5,,9,7.5,10,8.5,10,8.8,9,10,10,8,7
5,17,Call Your Girlfriend,8.5,6.5,,,7,9,9,6,7.5,7.1,10,10,4,10,,9,10,9,10,8,5,10,11,8,9,10
5,19,Damn Daniel,10,10,,,11,10,10,7,10,6.9,7.8,10,10,11,,10,7.5,10,10,10,10,10,7.6,10,10,8.5
5,22,ghostin,10,6.5,,,8,9.5,2,8.9,10,11,7.4,10,10,6.5,,9,4,7.5,9.5,6,4,10,8.7,9,4,8
5,24,Get Outta My Way,7,7,,,10,10,10,7.8,10,7.8,7.4,10,10,5.5,,11,11,10,10,6,6.4,10,10,11,5,10
5,33,Cruel Summer,6,8,,,8,8.5,0,5.5,11,8.8,8.6,10,8,2,,9,5.8,9,10,5,4,10,9,10,6,10
5,53,20 Dollar Nose Bleed,10,9.5,,,9,10,6,7.8,7.5,9.2,7.2,10,7.5,7,,2,5,7,8,8,11,7.5,5.2,8,8,9
5,57,I Lived,0,6,,,8,2,7,8.5,7,6.2,5.8,4,7,2,,7,4,1,7,10,10,4,7,5,5,11
5,59,Closer,8.5,8,,,10,7.5,10,0,10,10,7.8,10,6,10,,0,1,0,11,10,10,0,0,0,10,10
6,1,Doo Wop,8.5,,,,10,9.5,10,9.3,,8.5,,11,,10,,10,11,10,,,9,10,9.3,11,,11
6,2,Ex-Factor,10,,,,11,10,10,11,,9.5,,10,,9,,9,9.5,11,,,10,11,10,9,,10
6,3,Appletree,10,,,,10,9.5,8,10,,9,,10,,11,,11,10,10,,,10,9,9.3,8,,10
6,8,I Used To Love Him,10,,,,7.5,11,8,9.5,,7.8,,9,,9,,9,10,10,,,9.5,9,8.7,10,,10
6,6,On & On,9.5,,,,9,10,11,10,,7.6,,9,,10,,9,8.5,10,,,10,10,7.7,10,,10
6,9,It's Love,11,,,,10,9,8,9.5,,6.1,,9,,9,,10,7.8,10,,,10,9,10,10,,10
6,12,To Zion,7.5,,,,8,8.5,7,10,,8.7,,7,,10,,10,10,8.4,,,11,10,11,7,,10
6,14,The Miseducation of Lauryn Hill,9,,,,8,10,7,10,,11,,10,,6,,7,10,10,,,8.3,10,9.3,9,,8
7,1,Put Your Records On,9.5,9.5,10,,11,10,10,,6,7.8,,8,10,,,8,7,10,11,,8,10,10,10,8,8.5
7,3,Sir Duke,11,8.5,9,,10,10,9,,8,6,,6,11,,,9,9,8.5,4.5,,11,10,10,10,10,6.5
7,6,Lose Control,10,9.5,7,,10,10,7,,9,11,,10,10,,,10,10,10,10,,10,10,10,10,10,8
7,9,Tongue,10,8.5,8,,8.5,8.1,10,,10,7.9,,9,10,,,10,10,10,6.7,,9.8,9,10,11,10,9
7,11,Tu Falta De Querer,8.5,8.5,9,,8.2,9,10,,7,7.7,,10,8.5,,,7,11,8.5,10,,9,7.5,10,10,9,8
7,15,Death By Glamour,10,11,10,,10,8,8,,7,10,,11,7,,,10,8,10,10,,10,8,10,8,9.5,6
7,19,Starter Adult,8.5,7.5,5,,5,10,8,,8,9.5,,10,9.5,,,8,8,11,8,,10,7,10,8,7.5,7
7,22,Shelter,9,10,4,,7.5,8.8,11,,11,9.8,,10,8,,,9,6,6,9,,9,6,8.8,10,10,11
7,23,Sherbet Sunset,9.5,6.5,9,,7.5,10,6,,7,7.5,,6.5,7.5,,,11,7.8,9,7,,7.8,8.5,10,10,10,9.5
7,25,Under Cover of Darkness,9,9.5,9,,10,7.5,9,,8,8.8,,10,9,,,9,3,8.8,10,,8,7.5,8.7,7,11,10
7,35,New Breed,6.5,8,7,,7.5,11,7,,6.5,6.4,,8,9,,,10,10,8.5,6,,6,6.5,11,8,4.5,6
7,40,Fireproof,8.5,8,11,,10,7.7,6,,5,7.4,,9.5,7.5,,,4,4,5,10,,10,7,8.2,7,5,10
7,51,Sum Bout U,7.5,6,2,,10,8.5,0,,5,7.3,,3.5,7,,,8,9,2,5,,7.8,11,0,3,10,4
8,1,Blinding Lights,11,,9,,11,11,11,,10,7.5,11,10,,,,11,10,11,10,11,11,11,11,11,,10
8,3,Physical,7,,9,,10,10,9,10,11,9.9,10,10,,6,,,10,10,10,9,4.5,10,9.5,10,,7.5
8,7,august,10,,10,,9,,4,,10,11,,7,,9,,10,10,9,11,8,6.8,9,8,10,,9.5
8,8,exile,10,,7,,10,10,10,10,9,9.4,9.2,8.5,,7,,5,10,10,8.5,10,4,8.5,10,10,,11
8,16,my tears ricochet ,10,,7.5,,7,9.5,5,,8.5,,,11,,10,,6,,8,9.5,8,6.8,9.5,7,8,,10
8,24,Replay,8.5,,3,,10,10,7,10,8.5,9.2,8.3,7,,10,,10,11,7.8,9,6,7.5,6.5,9.5,10,,4
8,25,Sour Candy,8,,2,,7,10,8,11,10,3,7,2,,8.5,,7,8.5,5.2,7,8,,7.5,9,10,,2
8,42,peace,8.5,,11,,5,9,5,2,6,10,6.8,10,,8.5,,6,6,6.2,7.1,7,9,8.5,8.5,8,,7.5
8,59,Good In Bed,7,,9,,8,,5,,9,8.5,0,1,,11,,7,1,4,4,7,5,7,3,2,,0
9,1,King Kunta,10,11,10,,10,10,10,10,11,9.8,,10,10,10,,10,11,10,11,10,10,10,10,10,10,10
9,2,Cranes in the Sky,9,9,10,,9,11,10,10,9,7,,10,10,10,,10,10,10,7.6,10,10,10,10,10,10,10
9,3,i,10,8,10,,10,9.7,10,10,10,8.5,,10,10,10,,10,10,10,9,11,10,10,10,10,10,10
9,4,Wesley's Theory,10,9.5,9.6,,10,10,10,10,10,10,,10,10,10,,10,10,10,10,9,10,10,11,10,10,9
9,5,Alright,8.5,10,9,,8,9.8,10,8,9,11,,10,7,10,,10,10,8,9.5,10,7.5,10,10,10,10,10
9,6,The Blacker the Berry,10,9,10,,10,10,10,10,10,8.2,,10,8,10,,10,9,10,9.4,10,10,10,10,10,11,10
9,7,These Walls,11,8.5,10,,10,10,9,10,9.5,7.7,,10,10,11,,10,9,10,10,10,10,10,10,10,10,10
9,8,Don't Touch My Hair,10,7,10,,10,10,11,9.2,9,7.1,,10,10,10,,10,9,10,6.6,10,10,10,9.5,9,10,10
9,10,The Charade,10,8.5,10,,10,10,10,7,8,10,,11,11,10,,10,7,10,8.5,9,11,10,9.6,10,8,10
9,12,u,10,10,11,,11,10,10,11,9,8.9,,10,10,9,,11,8.8,8.5,6,10,9,11,10,11,10,7
9,16,Don't Wish Me Well,9,8.5,9,,9,10,8,10,7,7.6,,7,10,6,,10,9,11,9,7.5,8,9.5,8,9,7,11
10,2,On The Floor,10,10,7.5,10,10,10,10,8,8.5,9.4,,10,8,,,6,11,10,9,7,10,10,9.5,10,9.5,9.5
10,3,Casimir Pulaski Day,10,9,10,7.7,10,9.8,11,11,9,10,,10,10,,,10,10,11,8.5,10,7.4,10,11,10,9,9.2
10,4,Gospel for a New Century,10,10,10,9,10,10,10,10,11,9.9,,5,10,,,10,10,10,7.5,11,10,10,10,9,10,7.5
10,5,Heaven or Las Vegas,11,11,10,8,11,11,10,9,8,7.8,,10,10,,,7,7.5,9.5,10,6,7,10,10,10,10,9.5
10,6,In Undertow,8.5,10,9,7,10,10,9,8,10,11,,10,10,,,8,9,9.3,9,8,10,8.5,10,8,10,10
10,8,Once in a Lifetime,10,10,7,,8.5,10,10,7.5,6.5,10,,10,10,,,6,10,6.8,7,7,11,10,10,8,10,9
10,9,Shut Up Kiss Me,10,8,10,7.5,9,8.7,10,10,10,9.1,,10,10,,,11,10,10,10,7,10,10,8,10,10,7
10,10,Only Acting,10,8,10,11,9,9.2,10,3,10,10,,10,2,,,10,10,5,10,8,8,11,0,8,9,7.5
10,13,Heat Wave,9,,11,,9,8.8,7,8.5,10,10,,9,10,,,10,9.5,8.1,10,4,,10,9.5,10,10,8
10,16,Bodys,9.5,7.5,9,8,8.8,8.6,10,6.5,9,9.8,,5.8,11,,,7,7,9.1,8.5,8,7,10,9,7,7,9
10,21,All My Friends,10,,8,,8.8,8.1,10,5,8.5,10,,4,10,,,8,6.8,10,8.8,8,8,10,9,3,11,10
10,27,"Holland, 1945",,9.5,0,10,8.5,6.5,10,0,,8,,11,10,,,9,0,4,9,4,,10,8.5,7,10,8.5
10,29,Wolf Like Me,,9,6,,8.8,10,9,8.5,,8.5,,3,10,,,,3.5,10,7.5,6,,10,,,,11
10,40,bmbmbm,7,10,10,,10,7.5,10,10,0,0,,10,10,,,0,5,0,5,10,9,10,2,11,10,0
11,3,Narcissus,11,11,10,,11,11,7,10,7,8.7,7.6,10,,11,,11,10,10,7.9,,8.6,9.5,10,10,,8.5
11,4,Murphy's Law,10,8,9,,10,10,10,4,10,7.8,6.9,11,,10,,10,9.3,11,7.8,,10,10,10,10,,9
11,6,Remember Where You Are,8.5,9,9,,9,9,11,7,7.5,9.8,8.3,10,,10,,10,6.8,10,8.5,,10,10,7,11,,8.5
11,7,Save a Kiss,10,7.5,10,,7,9.5,10,8,9,9.5,8.1,10,,4.5,,9,10,9.1,8,,8.3,11,10,10,,10
11,9,The Kill,9.5,8,11,,9.5,10,8,11,8,8.6,7.8,10,,4,,10,10,10,8,,8,9,9.5,10,,8
11,10,Magic,9,7,8,,7,10,8,4,10,10,9.3,9,,4,,7,10,9.1,11,,10,9,10,8,,10
11,11,Step Into My Life,8.5,7,10,,5,8.7,9,9,7.5,11,7.3,10,,8,,9,9,9.4,8.5,,7,9.5,8.5,9,,8
11,13,Say Something,5,8.5,10,,8,10,4,5.5,8,6,6.5,10,,0,,10,9.8,10,9.5,,7.5,10,6,10,,11
11,17,Read My Lips,7,6.5,8,,8,7.3,10,9.5,7.5,9.7,7.4,7,,10,,9,9.5,8.5,7.8,,11,9,8,8,,7.5
11,18,Real Groove,8.5,7.5,8,,8,10,4,8,9.5,8.9,7.1,5,,10,,9,11,6,8.5,,8,8,9,10,,8.5
11,20,Mirage,7,6,7.8,,6,8.5,10,10,7.5,8.8,11,9,,7,,10,9.8,7,7.8,,7,9,9,7,,7
11,22,Dance Floor Darling,9.5,7.5,9,,9,10,4,5,11,9.1,8,9,,6,,7,9.5,9.2,9,,8,10,10,10,,10
11,23,We Got Together,10,6.5,9.5,,10,9.8,8,10,7,6,6.1,10,,9,,10,6,10,7,,8.8,8.5,11,10,,3
12,1,Damn Daniel,10,,10,11,10,11,10,,10,5,,11,10,10,,10,10,11,10,11,10,11,9,10,9.6,10
12,2,Shook,11,,10,7,11,10,11,,11,9.1,,9,11,10,,10,10,10,10,10,10,10,10,10,10,10
12,3,In A Dream,10,,7.5,8,8,9,10,,10,10,,9,10,11,,7,7.8,9,11,10,10,8.5,8.5,10,9.3,9
12,6,Killshot,10,,5,8,10,10,8,,9,11,,6,10,10,,8,10,10,10,8,10,9,8.5,8,9,11
12,7,Slime,10,,9.4,9,8.5,10,10,,9,10,,5,10,10,,11,11,9.5,8.5,6.5,10,8.5,10,11,10,4
12,11,ATM,8.7,,7.3,6,9,10,10,,10,8.8,,7.5,10,6.5,,10,10,10,8,9,10,8,11,10,8,7.5
12,17,Awake,10,,8.8,6,9,10,10,,10,5.5,,6,10,5,,10,10,9.5,10,8,10,10,10,10,11,7.5
12,18,Grasshopper,10,,11,6.5,10,10,10,,9,7.2,,10,10,9,,10,9,9.1,9,10,9.7,7.5,9.5,10,9,6
12,48,could cry just thinking about you,3,,2,,5,7,5,,,6.5,,6,7,9.5,,6,,3,10,6,11,6,8.5,3,,7.5
